DateTime,Users,Average Users,In-Game
2004-01-31,85958,,
2004-02-29,88517,,
2004-03-31,91716,,
2004-04-30,98641,,
2004-05-31,109818,,
2004-06-30,109184,,
2004-07-31,109132,,
2004-08-31,133892,,
2004-09-30,136834,,
2004-10-31,149933,,
2004-11-30,158501,,
2004-12-31,202093,,
2005-01-31,213547,,
2005-02-28,225074,,
2005-03-31,212552,,
2005-04-30,211454,,
2005-05-31,198460,,
2005-06-30,212641,,
2005-07-31,208817,,
2005-08-31,200230,,
2005-09-30,220740,,
2005-10-31,233160,,
2005-11-30,214584,,
2005-12-31,219034,,
2006-01-31,233767,,
2006-02-28,236879,,
2006-03-31,239990,,
2006-04-30,243207,,
2006-05-31,246424,,
2006-06-30,249640,,
2006-07-31,252857,,
2006-08-31,256099,,
2006-09-30,256937,,
2006-10-31,252516,,
2006-11-30,256598,,
2006-12-31,285112,,
2007-01-31,287416,,
2007-02-28,329509,,
2007-03-31,331382,,
2007-04-30,353891,,
2007-05-31,329721,,
2007-06-30,344720,,
2007-07-31,348862,,
2007-08-31,379021,,
2007-09-30,411458,,
2007-10-31,472118,,
2007-11-30,454537,,
2007-12-31,450709,,
2008-01-31,586682,,
2008-02-29,1296622,,
2008-03-31,1311339,,
2008-04-30,1260546,,
2008-05-31,1220625,,
2008-06-30,1178785,,
2008-07-31,1126206,,
2008-08-31,1139440,,
2008-09-30,1243807,,
2008-10-31,1232293,,
2008-11-30,1329898,,
2008-12-31,1412707,,
2009-01-31,1533560,,
2009-02-28,1607461,,
2009-03-31,1773796,,
2009-04-30,1709178,,
2009-05-31,1733282,,
2009-06-30,1764016,,
2009-07-31,1668914,,
2009-08-31,1681087,,
2009-09-30,1768521,,
2009-10-31,1547327,,
2009-11-30,1931736,,
2009-12-31,2213945,,
2010-01-31,2481478,,
2010-02-28,2431410,,
2010-03-31,2437451,,
2010-04-30,2374296,,
2010-05-31,2350876,,
2010-06-30,2326269,,
2010-07-31,2236542,,
2010-08-31,2299764,,
2010-09-30,2521149,,
2010-10-31,2694412,,
2010-11-30,2902431,,
2010-12-31,2989330,,
2011-01-31,3220564,,
2011-02-28,3175126,,
2011-03-31,3179343,,
2011-04-30,3081018,,
2011-05-31,3161684,,
2011-06-30,3212712,,
2011-07-31,3436723,,
2011-08-31,3543238,,
2011-09-30,3796826,,
2011-10-31,3937542,,
2011-11-30,4247601,,
2011-12-31,4428896,,
2012-01-31,4682979,,
2012-02-29,4592963,,
2012-03-31,4610903,,
2012-04-30,4625402,,
2012-05-31,4578164,,
2012-06-30,4552038,,
2012-07-31,4680613,,
2012-08-31,4289096,,
2012-09-30,4679463,,
2012-10-31,4937402,,
2012-11-30,5184392,,
2012-12-31,5547706,,
2013-01-31,6114010,,
2013-02-28,5582203,,
2013-03-31,5139867,,
2013-04-30,5029830,,
2013-05-31,4920018,,
2013-06-30,4910836,,
2013-07-31,5136887,,
2013-08-31,5278249,,
2013-09-30,6016420,,
2013-10-31,6057853,,
2013-11-30,6400651,,
2013-12-31,6792764,,
2014-01-31,6947550,,
2014-02-28,6680258,,
2014-03-31,6578718,,
2014-04-30,6390587,,
2014-05-31,6453147,,
2014-06-30,6904370,,
2014-07-31,6744120,,
2014-08-31,6533656,,
2014-09-30,6742710,,
2014-10-31,6989347,,
2014-11-30,7096469,,
2014-12-31,7416585,,
2015-01-31,8004587,,
2015-02-28,8018200,,
2015-03-31,8393347,,
2015-04-30,8543568,,
2015-05-31,8645724,,
2015-06-30,9179938,,
2015-07-31,8848914,,
2015-08-31,9055602,,
2015-09-30,9510647,,
2015-10-31,9898331,,
2015-11-30,10409580,,
2015-12-31,10664977,,
2016-01-31,11425999,,
2016-02-29,11464652,,
2016-03-31,11353008,,
2016-04-30,11569876,,
2016-05-31,11260826,,
2016-06-30,11415349,,
2016-07-31,11173017,,
2016-08-31,10959826,,
2016-09-30,11271203,,
2016-10-31,11684003,,
2016-11-30,12137569,,
2016-12-31,12535796,,
2017-01-31,13024870,,
2017-02-28,12695770,,
2017-03-31,12214263,,
2017-04-30,12424615,,
2017-05-31,12416279,,
2017-06-30,12822262,,
2017-07-31,12817764,,
2017-08-31,12970998,,
2017-09-30,13795174,,
2017-10-31,14891597,,
2017-11-30,15217727,,5558320
2017-12-31,16246414,,6113507
2018-01-31,16850251,,6164838
2018-02-28,15815035,,5676871
2018-03-31,16452613,,5715210
2018-04-30,15802067,,5160700
2018-05-31,15291915,,4766138
2018-06-30,15509585,,4813392
2018-07-31,14878393,,4528736
2018-08-31,14591476,,4307955
2018-09-30,14803638,,4396559
2018-10-31,14544460,,4157266
2018-11-30,14523037,,4039535
2018-12-31,15455810,,4497949
2019-01-31,15733693,,4604220
2019-02-28,15407436,,4350479
2019-03-31,15353190,,4520367
2019-04-30,15329432,,4442605
2019-05-31,15338828,,4469378
2019-06-30,15332248,,4534566
2019-07-31,15118307,,4566579
2019-08-31,14924747,,4438883
2019-09-30,14797209,,4172407
2019-10-31,14805565,,4131595
2019-11-30,14801253,,4227191
2019-12-31,15805190,,4701548
2020-01-31,16265412,,4829145
2020-02-29,17046966,,5166659
2020-03-31,19827017,,5811454
2020-04-30,23592347,,6701852
2020-05-31,22287737,,6057901
