title,url,price,tags
Last Epoch,https://store.steampowered.com/app/899770/Last_Epoch/,$34.99,"['Gore', 'Character Customization', 'Singleplayer', 'Adventure', 'MMORPG', 'Action RPG', 'Hack and Slash', 'Early Access', 'Co-op', 'Magic', 'Top-Down', 'Loot', 'Action', 'Dungeon Crawler', 'RPG', 'Multiplayer', 'Isometric', 'Violent', 'Fantasy']"
Last Epoch - Woven Legend Supporter Pack,https://store.steampowered.com/app/3512600/Last_Epoch__Woven_Legend_Supporter_Pack/,$59.99,"['Gore', 'Character Customization', 'Singleplayer', 'Adventure', 'MMORPG', 'Action RPG', 'Hack and Slash', 'Early Access', 'Co-op', 'Magic', 'Top-Down', 'Loot', 'Action', 'Dungeon Crawler', 'RPG', 'Multiplayer', 'Isometric', 'Violent', 'Fantasy']"
Blue Prince,https://store.steampowered.com/app/1569580/Blue_Prince/,$26.99,"['Strategy', 'Singleplayer', 'Nonlinear', 'Adventure', 'Atmospheric', 'Replay Value', 'Stylized', 'Puzzle', 'Investigation', 'Level Editor', 'Exploration', 'Roguelite', 'Mystery', 'First-Person', 'Roguelike', '3D', 'Escape Room', 'Simulation', 'Story Rich']"
Mandragora: Whispers of the Witch Tree,https://store.steampowered.com/app/1721060/Mandragora_Whispers_of_the_Witch_Tree/,$39.99,"['Combat', 'Action RPG', 'Action', 'Singleplayer', 'Platformer', 'Crowdfunded', 'RPG', 'Story Rich', 'Metroidvania', 'Blood', 'Dark Fantasy', 'Difficult', 'Medieval', 'Souls-like', 'Exploration', 'Atmospheric', '2.5D']"
Rust,https://store.steampowered.com/app/252490/Rust/,$39.99,"['Survival', 'Simulation', 'First-Person', 'FPS', 'Multiplayer', 'Action', 'Early Access', 'Co-op', 'Post-apocalyptic', 'Open World Survival Craft', 'Sandbox', 'Building', 'PvP', 'Crafting', 'Adventure', 'Open World', 'Sexual Content', 'Shooter']"
Last Epoch - Woven Vanquisher Supporter Pack,https://store.steampowered.com/app/3512590/Last_Epoch__Woven_Vanquisher_Supporter_Pack/,$39.99,"['Gore', 'Character Customization', 'Singleplayer', 'Adventure', 'MMORPG', 'Action RPG', 'Hack and Slash', 'Early Access', 'Co-op', 'Magic', 'Top-Down', 'Loot', 'Action', 'Dungeon Crawler', 'RPG', 'Multiplayer', 'Isometric', 'Violent', 'Fantasy']"
Drive Beyond Horizons,https://store.steampowered.com/app/2625420/Drive_Beyond_Horizons/,$24.99,"['Racing', 'Simulation', 'First-Person', 'Survival', 'Open World', 'Multiplayer', 'Action', 'Horror', 'Early Access', 'Casual', 'Co-op', 'Post-apocalyptic', 'Exploration', 'Driving', 'Adventure', 'FPS', 'Realistic', 'Shooter']"
DAVE THE DIVER,https://store.steampowered.com/app/1868140/DAVE_THE_DIVER/,$11.99,"['Management', 'Simulation', '2D', 'Action', 'Agriculture', 'Casual', 'Fishing', 'Pixel Graphics', 'RPG', 'Singleplayer', 'Story Rich', 'Crafting', 'Funny', 'Exploration', 'Roguelite', 'Adventure', 'Underwater', 'Relaxing']"
Enshrouded,https://store.steampowered.com/app/1203620/Enshrouded/,$29.99,"['Survival', 'PvE', 'Action RPG', 'Multiplayer', 'Character Customization', 'Action', 'Singleplayer', 'Co-op', 'Early Access', 'RPG', '3D', 'Exploration', 'Fantasy', 'Building', 'Adventure', 'Crafting', 'Sandbox', 'Open World']"
DREDGE,https://store.steampowered.com/app/1562430/DREDGE/,$12.49,"['Simulation', 'Sailing', 'Horror', 'Singleplayer', 'Fishing', 'Inventory Management', 'RPG', 'Lovecraftian', 'Story Rich', '3D', 'Exploration', 'Adventure', 'Atmospheric', 'Open World', 'Psychological', 'Stylized', 'Mystery']"
