title,url,price,tags
RuneScape: Dragonwilds,https://store.steampowered.com/app/1374490/RuneScape_Dragonwilds/,29.99,"['Early Access', 'Survival', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Co-op', 'Online Co-Op', 'Crafting', 'Building', 'Exploration', 'Base Building', 'Adventure', 'Action', 'Difficult', 'Sandbox', 'Singleplayer', 'RPG', 'Third Person', 'Fantasy', 'Dragons']"
Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/,0.00,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']"
Schedule I,https://store.steampowered.com/app/3164500/Schedule_I/,19.99,"['Simulation', 'Co-op', 'Crime', 'Multiplayer', 'Management', 'Open World', 'First-Person', 'Action', 'Building', 'Automation', 'Base Building', 'Crafting', 'Stealth', 'Strategy', 'FPS', 'Driving', 'Shooter', 'Character Customization', 'Early Access', 'Action-Adventure']"
Marvel Rivals,https://store.steampowered.com/app/2767030/Marvel_Rivals/,0.00,"['Free to Play', 'Multiplayer', 'Hero Shooter', 'Third-Person Shooter', 'Superhero', 'PvP', 'Action', 'Team-Based', 'Competitive', 'Shooter', '3D', 'Strategy', 'Online Co-Op', 'Co-op', 'Sci-fi', 'Third Person', 'Sexual Content', 'MOBA', 'Nudity', 'FPS']"
Last Epoch,https://store.steampowered.com/app/899770/Last_Epoch/,34.99,"['Action RPG', 'Loot', 'Hack and Slash', 'RPG', 'Multiplayer', 'Isometric', 'Action', 'Adventure', 'Co-op', 'Top-Down', 'Dungeon Crawler', 'Indie', 'Singleplayer', 'Fantasy', 'Gore', 'MMORPG', 'Character Customization', 'Magic', 'Violent', 'Early Access']"
R.E.P.O.,https://store.steampowered.com/app/3241660/REPO/,9.99,"['Horror', 'Online Co-Op', 'Comedy', 'Multiplayer', 'Co-op', 'Physics', '3D', 'First-Person', 'Stealth', 'Action', 'Action Roguelike', 'Procedural Generation', 'Robots', 'Exploration', 'Survival', 'Post-apocalyptic', 'Perma Death', 'Sci-fi', 'Dystopian ', 'Early Access']"
Tempest Rising,https://store.steampowered.com/app/1486920/Tempest_Rising/,39.99,"['RTS', 'Strategy', 'Base Building', 'Singleplayer', 'Multiplayer', 'Isometric', '3D', 'Real-Time', 'War', 'Action', 'PvP', 'Action RTS', 'Great Soundtrack', 'Military', 'Futuristic', 'FMV', 'Wargame', 'Cinematic', 'Top-Down', 'Modern']"
Baldur's Gate 3,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/,47.99,"['RPG', 'Character Customization', 'Choices Matter', 'Story Rich', 'Turn-Based Combat', 'Dungeons & Dragons', 'CRPG', 'Fantasy', 'Adventure', 'Sexual Content', 'Romance', 'Online Co-Op', 'Multiplayer', 'Strategy', 'Singleplayer', 'Co-op Campaign', 'Class-Based', 'Nudity', 'Dark Fantasy', 'Combat']"
Lords of the Fallen,https://store.steampowered.com/app/1501750/Lords_of_the_Fallen/,19.79,"['Exploration', 'Souls-like', 'Combat', 'Action', 'Dark Fantasy', 'RPG', 'Dragons', 'Story Rich', 'Action RPG', 'Online Co-Op', 'Singleplayer', 'Action-Adventure', 'Adventure', 'Medieval', 'Lore-Rich', 'Magic', 'Character Customization', 'Multiplayer', 'Fantasy', 'Open World']"
Blue Prince,https://store.steampowered.com/app/1569580/Blue_Prince/,26.99,"['Puzzle', 'Exploration', 'Mystery', 'Investigation', 'Story Rich', 'Singleplayer', 'Adventure', 'Indie', 'First-Person', 'Atmospheric', 'Simulation', 'Roguelite', 'Escape Room', '3D', 'Level Editor', 'Nonlinear', 'Strategy', 'Stylized', 'Replay Value', 'Roguelike']"
The Elder Scrolls® Online,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/,4.99,"['RPG', 'MMORPG', 'Open World', 'Fantasy', 'Adventure', 'Multiplayer', 'Exploration', 'Singleplayer', 'Massively Multiplayer', 'Action', 'Character Customization', 'PvP', 'PvE', 'Lore-Rich', 'Story Rich', 'Choose Your Own Adventure', 'Magic', 'Class-Based', 'Action RPG', 'Atmospheric']"
War Thunder,https://store.steampowered.com/app/236390/War_Thunder/,0.00,"['Free to Play', 'Simulation', 'Vehicular Combat', 'Combat', 'World War II', 'Flight', 'VR', 'War', 'Military', 'Tanks', 'Multiplayer', 'Naval Combat', 'Massively Multiplayer', 'Modern', 'Cold War', 'Realistic', 'Shooter', 'Action', 'Third Person', 'Third-Person Shooter']"
Last Epoch - Woven Legend Supporter Pack,https://store.steampowered.com/app/3512600/Last_Epoch__Woven_Legend_Supporter_Pack/,59.99,"['Action RPG', 'Loot', 'Hack and Slash', 'RPG', 'Multiplayer', 'Isometric', 'Action', 'Adventure', 'Co-op', 'Indie', 'Top-Down', 'Dungeon Crawler', 'Singleplayer', 'Gore', 'Fantasy', 'Violent', 'MMORPG', 'Character Customization', 'Magic', 'Early Access']"
Ready or Not,https://store.steampowered.com/app/1144200/Ready_or_Not/,49.99,"['Tactical', 'Realistic', 'FPS', 'Shooter', 'Multiplayer', 'Co-op', 'Singleplayer', 'Horror', 'First-Person', 'Action', 'Violent', 'Combat', 'Gun Customization', 'Crime', 'Gore', 'Modern', 'Psychological Horror', 'Atmospheric', 'America', 'Co-op Campaign']"
