title,url,price,tags
RuneScape: Dragonwilds,https://store.steampowered.com/app/1374490/RuneScape_Dragonwilds/,$29.99,"['Survival', 'Multiplayer', 'Action', 'Early Access', 'Co-op', 'Singleplayer', 'RPG', 'Dragons', 'Open World Survival Craft', 'Exploration', 'Difficult', 'Building', 'Adventure', 'Crafting', 'Sandbox', 'Open World', 'Third Person', 'Fantasy']"
Last Epoch,https://store.steampowered.com/app/899770/Last_Epoch/,$34.99,"['Gore', 'Character Customization', 'Singleplayer', 'Adventure', 'MMORPG', 'Action RPG', 'Hack and Slash', 'Early Access', 'Co-op', 'Magic', 'Top-Down', 'Loot', 'Action', 'Dungeon Crawler', 'Indie', 'RPG', 'Multiplayer', 'Isometric', 'Violent', 'Fantasy']"
Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/,Free,"['Tactical', 'Competitive', 'Strategy', 'Trading', 'First-Person', 'Moddable', 'Multiplayer', 'Action', 'Military', 'Fast-Paced', 'Co-op', 'Team-Based', 'PvP', 'Difficult', 'eSports', 'FPS', 'Realistic', 'Shooter']"
Schedule I,https://store.steampowered.com/app/3164500/Schedule_I/,$19.99,"['Management', 'Strategy', 'Action-Adventure', 'Character Customization', 'Crime', 'Crafting', 'FPS', 'Early Access', 'Co-op', 'Open World', 'First-Person', 'Action', 'Automation', 'Stealth', 'Shooter', 'Simulation', 'Multiplayer', 'Driving', 'Building']"
Steam Deck,https://store.steampowered.com/app/1675200/Steam_Deck/,$399.00,[]
Last Epoch - Woven Legend Supporter Pack,https://store.steampowered.com/app/3512600/Last_Epoch__Woven_Legend_Supporter_Pack/,$59.99,"['Gore', 'Character Customization', 'Singleplayer', 'Adventure', 'MMORPG', 'Action RPG', 'Hack and Slash', 'Early Access', 'Co-op', 'Magic', 'Top-Down', 'Loot', 'Action', 'Dungeon Crawler', 'Indie', 'RPG', 'Multiplayer', 'Isometric', 'Violent', 'Fantasy']"
Marvel Rivals,https://store.steampowered.com/app/2767030/Marvel_Rivals/,Free,"['MOBA', 'Competitive', 'Strategy', 'Third-Person Shooter', 'Multiplayer', 'Action', '3D', 'Co-op', 'Hero Shooter', 'Sci-fi', 'Team-Based', 'PvP', 'Third Person', 'FPS', 'Superhero', 'Free to Play', 'Sexual Content', 'Shooter']"
R.E.P.O.,https://store.steampowered.com/app/3241660/REPO/,$9.99,"['Horror', 'Physics', 'Early Access', 'Co-op', 'Exploration', 'Procedural Generation', 'Survival', 'First-Person', 'Action', 'Roguelike', '3D', 'Post-apocalyptic', 'Robots', 'Sci-fi', 'Stealth', 'Perma Death', 'Dystopian ', 'Multiplayer', 'Comedy']"
Baldur's Gate 3,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/,$47.99,"['CRPG', 'Strategy', 'Class-Based', 'Combat', 'Turn-Based Combat', 'Character Customization', 'Dungeons & Dragons', 'Multiplayer', 'Story Rich', 'Co-op', 'Singleplayer', 'RPG', 'Romance', 'Fantasy', 'Adventure', 'Choices Matter', 'Dark Fantasy', 'Sexual Content']"
Blue Prince,https://store.steampowered.com/app/1569580/Blue_Prince/,$26.99,"['Strategy', 'Singleplayer', 'Nonlinear', 'Adventure', 'Atmospheric', 'Replay Value', 'Stylized', 'Puzzle', 'Investigation', 'Level Editor', 'Exploration', 'Roguelite', 'Mystery', 'First-Person', 'Roguelike', '3D', 'Indie', 'Escape Room', 'Simulation', 'Story Rich']"
Tempest Rising,https://store.steampowered.com/app/1486920/Tempest_Rising/,$49.99,"['RTS', 'Strategy', 'Soundtrack', 'Action RTS', 'FMV', 'Multiplayer', 'Action', 'Cinematic', 'Singleplayer', 'Isometric', '3D', 'Modern', 'Real-Time', 'Top-Down', 'Building', 'PvP', 'Military', 'Futuristic']"
The Elder Scrolls® Online,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/,$4.99,"['Character Customization', 'Singleplayer', 'Adventure', 'Atmospheric', 'MMORPG', 'Class-Based', 'Action RPG', 'Exploration', 'Magic', 'Open World', 'PvE', 'Action', 'RPG', 'Multiplayer', 'Massively Multiplayer', 'Story Rich', 'Fantasy', 'PvP', 'Choose Your Own Adventure']"
THRONE AND LIBERTY,https://store.steampowered.com/app/2429640/THRONE_AND_LIBERTY/,Free,"['Action-Adventure', 'Character Customization', 'Adventure', 'Crafting', 'MMORPG', 'Free to Play', 'Co-op', 'Exploration', 'Open World', 'PvE', 'Combat', 'Action', 'RPG', 'Third Person', 'Emotional', 'Massively Multiplayer', 'Multiplayer', 'Fantasy', 'PvP']"
Red Dead Redemption 2,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/,$14.99,"['Gore', 'Singleplayer', 'Adventure', 'Atmospheric', 'FPS', 'Third-Person Shooter', 'Western', 'Sandbox', 'Open World', 'Realistic', 'First-Person', 'Action', 'Third Person', 'Mature', 'Shooter', 'Beautiful', 'Horses', 'Soundtrack', 'Multiplayer', 'Story Rich']"
Warframe,https://store.steampowered.com/app/230410/Warframe/,Free,"['Character Customization', 'Singleplayer', 'Ninja', 'Free to Play', 'Third-Person Shooter', 'Action RPG', 'Hack and Slash', 'Co-op', 'Looter Shooter', 'PvE', 'Parkour', 'Action', 'RPG', 'Sci-fi', 'Third Person', 'Shooter', 'Massively Multiplayer', 'Story Rich', 'Space']"
The Last of Us™ Part II Remastered,https://store.steampowered.com/app/2531310/The_Last_of_Us_Part_II_Remastered/,$49.99,"['Action-Adventure', 'Drama', 'Horror', 'Singleplayer', 'Thriller', 'LGBTQ+', 'Adventure', 'Atmospheric', 'Third-Person Shooter', 'Realistic', 'Survival', 'Sequel', 'Action', 'Dark', 'Post-apocalyptic', 'Stealth', 'Third Person', 'Emotional', 'Story Rich']"
Ready or Not,https://store.steampowered.com/app/1144200/Ready_or_Not/,$24.99,"['Tactical', 'Combat', 'First-Person', 'Gore', 'Multiplayer', 'Horror', 'Action', 'Singleplayer', 'Co-op', 'Modern', 'America', 'Gun Customization', 'Violent', 'Crime', 'Atmospheric', 'FPS', 'Realistic', 'Shooter']"
War Thunder,https://store.steampowered.com/app/236390/War_Thunder/,Free,"['Flight', 'Combat', 'Simulation', 'Third-Person Shooter', 'Multiplayer', 'Massively Multiplayer', 'VR', 'Action', 'Modern', 'Vehicular Combat', 'Tanks', 'Cold War', 'Third Person', 'Military', 'Naval Combat', 'Realistic', 'Free to Play', 'Shooter']"
Mandragora: Whispers of the Witch Tree,https://store.steampowered.com/app/1721060/Mandragora_Whispers_of_the_Witch_Tree/,$39.99,"['Combat', 'Action RPG', 'Action', 'Singleplayer', 'Platformer', 'Crowdfunded', 'RPG', 'Story Rich', 'Metroidvania', 'Indie', 'Blood', 'Dark Fantasy', 'Difficult', 'Medieval', 'Souls-like', 'Exploration', 'Atmospheric', '2.5D']"
Path of Exile 2,https://store.steampowered.com/app/2694490/Path_of_Exile_2/,$29.99,"['Character Customization', 'Horror', 'Inventory Management', 'Adventure', 'Crafting', 'MMORPG', 'Free to Play', 'Action RPG', 'Hack and Slash', 'Early Access', 'Co-op', 'Loot', 'Action', 'Dark', 'Dungeon Crawler', 'RPG', 'Souls-like', 'Dark Fantasy', 'Multiplayer', 'Isometric']"
"Warhammer 40,000: Space Marine 2",https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2/,$38.99,"['Action-Adventure', 'Singleplayer', 'Adventure', 'Futuristic', 'Third-Person Shooter', 'Co-op', 'Narration', 'Warhammer 40K', 'Realistic', 'PvE', 'Action', '3D', 'Sci-fi', 'Third Person', 'Military', 'Multiplayer', 'Cinematic', 'Fantasy', 'Space']"
Monster Hunter Wilds,https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds/,$69.99,"['Character Customization', 'Singleplayer', 'Adventure', 'Atmospheric', 'Sexual Content', 'Action RPG', 'Dragons', 'Co-op', 'Cute', 'Open World', 'Action', 'RPG', 'Underwater', 'Third Person', 'Hunting', 'Simulation', 'Soundtrack', 'Multiplayer', 'Fantasy']"
MapleStory,https://store.steampowered.com/app/216150/MapleStory/,Free,"['Loot', 'PvE', '2D', 'Anime', 'Character Customization', 'Multiplayer', 'Massively Multiplayer', 'Story Rich', 'Platformer', 'Co-op', 'RPG', 'Casual', 'Cute', 'Multiple Endings', 'PvP', 'Third Person', 'MMORPG', 'Free to Play']"
Tom Clancy's Rainbow Six® Siege,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/,$19.99,"['Tactical', 'Competitive', 'Strategy', 'First-Person', 'Multiplayer', 'Action', 'Military', 'Co-op', '3D', 'Destruction', 'Hero Shooter', 'Team-Based', 'PvP', 'Difficult', 'eSports', 'FPS', 'Realistic', 'Shooter']"
Fallout 76,https://store.steampowered.com/app/1151340/Fallout_76/,$39.99,"['Gore', 'Horror', 'Singleplayer', 'FPS', 'Atmospheric', 'MMORPG', 'Early Access', 'Co-op', 'Exploration', 'Open World', 'Survival', 'Capitalism', 'RPG', 'Post-apocalyptic', 'Dark Comedy', 'Shooter', 'Soundtrack', 'Multiplayer', 'Violent', 'Building']"
Call of Duty®: Warzone™,https://store.steampowered.com/app/1962663/Call_of_Duty_Warzone/,Free,"['Gore', 'Singleplayer', 'Adventure', 'FPS', 'Atmospheric', 'Free to Play', 'Co-op', 'Open World', 'Realistic', 'Survival', 'First-Person', 'Action', 'Third Person', 'Military', 'Battle Royale', 'Shooter', 'Multiplayer', 'Violent', 'PvP']"
Apex Legends™,https://store.steampowered.com/app/1172470/Apex_Legends/,Free,"['Tactical', 'Character Customization', 'Hero Shooter', 'FPS', 'Free to Play', 'Co-op', 'Cyberpunk', 'Loot', 'Survival', 'First-Person', 'Action', 'Funny', 'Sci-fi', 'Team-Based', 'Battle Royale', 'Shooter', 'Multiplayer', 'Cinematic', 'Story Rich', 'PvP']"
Dead by Daylight,https://store.steampowered.com/app/381210/Dead_by_Daylight/,$19.99,"['Strategy', 'Survival', 'Gore', 'First-Person', 'Multiplayer', 'Horror', 'Action', 'Co-op', 'Violent', 'Blood', 'Team-Based', 'Comedy', 'Stealth', 'Third Person', 'Difficult', 'Atmospheric', 'Mature']"
